"1N4148"
V 0.3500 I 0.000000 
V 0.3600 I 0.000000 
V 0.3700 I 0.000000 
V 0.3800 I 0.000000 
V 0.3900 I 0.000000 
V 0.4000 I 0.000000 
V 0.4100 I 0.000000 
V 0.4200 I 0.000000 
V 0.4300 I 0.000000 
V 0.4400 I 0.000000 
V 0.4500 I 0.000000 
V 0.4600 I 0.000000 
V 0.4700 I 0.000000 
V 0.4800 I 0.000000 
V 0.4900 I 0.000000 
V 0.5000 I 0.000000 
V 0.5100 I 0.000000 
V 0.5200 I 0.000000 
V 0.5300 I 0.000000 
V 0.5400 I 0.000000 
V 0.5500 I 0.000000 
V 0.5600 I 0.000000 
V 0.5700 I 0.000000 
V 0.5800 I 0.000000 
V 0.5900 I 0.000000 
V 0.6000 I 0.000000 
V 0.6100 I 0.000000 
V 0.6200 I 0.000000 
V 0.6300 I 0.000000 
V 0.6400 I 0.000000 
V 0.6500 I 0.000000 
V 0.6600 I 0.000000 
V 0.6700 I 0.000000 
V 0.6800 I 0.000000 
V 0.6900 I 0.000000 
V 0.7000 I 0.000000 
V 0.7100 I 0.000000 
V 0.7200 I 0.000000 
V 0.7300 I 0.000000 
V 0.7400 I 0.000000 
V 0.7500 I 0.000000 
V 0.7600 I 0.000000 
V 0.7700 I 0.000000 
V 0.7800 I 0.000000 
V 0.7900 I 0.000000 
V 0.8000 I 0.000000 
V 0.8100 I 0.000000 
V 0.8200 I 0.000000 
V 0.8300 I 0.000000 
V 0.8400 I 0.000000 
V 0.8500 I 0.000000 
V 0.8600 I 0.000000 
V 0.8700 I 0.000000 
V 0.8800 I 0.000000 
V 0.8900 I 0.000000 
V 0.9000 I 0.000000 
V 0.9100 I 0.000000 
V 0.9200 I 0.000000 
V 0.9300 I 0.000000 
V 0.9400 I 0.000000 
V 0.9500 I 0.000000 
V 0.9600 I 0.000000 
V 0.9700 I 0.000000 
V 0.9800 I 0.000000 
V 0.9900 I 0.000000 
V 1.0000 I 0.000000 
V 1.0100 I 0.000000 
V 1.0200 I 0.000000 
V 1.0300 I 0.000000 
V 1.0400 I 0.000000 
V 1.0500 I 0.000000 
V 1.0600 I 0.000000 
V 1.0700 I 0.000000 
V 1.0800 I 0.000000 
V 1.0900 I 0.000000 
V 1.1000 I 0.000000 
V 1.1100 I 0.000000 
V 1.1200 I 0.000000 
V 1.1300 I 0.000000 
V 1.1400 I 0.000000 
V 1.1500 I 0.000000 
V 1.1600 I 0.000000 
V 1.1700 I 0.000000 
V 1.1800 I 0.000000 
V 1.1900 I 0.000000 
V 1.2000 I 0.000000 
V 1.2100 I 0.000000 
V 1.2200 I 0.000000 
V 1.2300 I 0.000000 
V 1.2400 I 0.000000 
V 1.2500 I 0.000000 
V 1.2600 I 0.000000 
V 1.2700 I 0.000000 
V 1.2800 I 0.000000 
V 1.2900 I 0.000000 
V 1.3000 I 0.000000 
V 1.3100 I 0.000000 
V 1.3200 I 0.000000 
V 1.3300 I 0.000000 
V 1.3400 I 0.000000 
V 1.3500 I 0.000000 
V 1.3600 I 0.000000 
V 1.3700 I 0.000000 
V 1.3800 I 0.000000 
V 1.3900 I 0.000000 
V 1.4000 I 0.000000 
V 1.4100 I 0.000000 
V 1.4200 I 0.000000 
V 1.4300 I 0.000000 
V 1.4400 I 0.000000 
V 1.4500 I 0.000000 
V 1.4600 I 0.000000 
V 1.4700 I 0.000000 
V 1.4800 I 0.000000 
V 1.4900 I 0.000000 
V 1.5000 I 0.000000 
V 1.5100 I 0.000000 
V 1.5200 I 0.000010 
V 1.5300 I 0.000010 
V 1.5400 I 0.000010 
V 1.5500 I 0.000010 
V 1.5600 I 0.000010 
V 1.5700 I 0.000010 
V 1.5800 I 0.000020 
V 1.5900 I 0.000020 
V 1.6000 I 0.000020 
V 1.6100 I 0.000030 
V 1.6200 I 0.000030 
V 1.6300 I 0.000040 
V 1.6400 I 0.000050 
V 1.6500 I 0.000070 
V 1.6600 I 0.000080 
V 1.6700 I 0.000100 
V 1.6800 I 0.000120 
V 1.6900 I 0.000150 
V 1.7000 I 0.000180 
V 1.7100 I 0.000220 
V 1.7200 I 0.000260 
V 1.7300 I 0.000310 
V 1.7400 I 0.000370 
V 1.7500 I 0.000430 
V 1.7600 I 0.000500 
V 1.7700 I 0.000570 
V 1.7800 I 0.000650 
V 1.7900 I 0.000730 
V 1.8000 I 0.000820 
V 1.8100 I 0.000920 
V 1.8200 I 0.001020 
V 1.8300 I 0.001120 
V 1.8400 I 0.001230 
V 1.8500 I 0.001340 
V 1.8600 I 0.001460 
V 1.8700 I 0.001580 
V 1.8800 I 0.001710 
V 1.8900 I 0.001840 
V 1.9000 I 0.001970 
V 1.9100 I 0.002110 
V 1.9200 I 0.002250 
V 1.9300 I 0.002390 
V 1.9400 I 0.002530 
V 1.9500 I 0.002680 
V 1.9600 I 0.002830 
V 1.9700 I 0.002990 
V 1.9800 I 0.003150 
V 1.9900 I 0.003310 
V 2.0000 I 0.003480 
V 2.0100 I 0.003650 
V 2.0200 I 0.003820 
V 2.0300 I 0.004000 
V 2.0400 I 0.004170 
V 2.0500 I 0.004350 
V 2.0600 I 0.004530 
V 2.0700 I 0.004720 
V 2.0800 I 0.004910 
V 2.0900 I 0.005100 
V 2.1000 I 0.005290 
V 2.1100 I 0.005490 
V 2.1200 I 0.005690 
V 2.1300 I 0.005900 
V 2.1400 I 0.006100 
V 2.1500 I 0.006310 
V 2.1600 I 0.006520 
V 2.1700 I 0.006730 
V 2.1800 I 0.006920 
V 2.1900 I 0.007130 
V 2.2000 I 0.007350 
V 2.2100 I 0.007550 
V 2.2200 I 0.007760 
V 2.2300 I 0.007960 
V 2.2400 I 0.008170 
V 2.2500 I 0.008410 
V 2.2600 I 0.008630 
V 2.2700 I 0.008860 
V 2.2800 I 0.009090 
V 2.2900 I 0.009330 
V 2.3000 I 0.009590 
V 2.3100 I 0.009830 
V 2.3200 I 0.010110 
V 2.3300 I 0.010400 
V 2.3400 I 0.010690 
V 2.3500 I 0.010980 
V 2.3600 I 0.011250 
V 2.3700 I 0.011550 
V 2.3800 I 0.011840 
V 2.3900 I 0.012160 
V 2.4000 I 0.012460 
V 2.4100 I 0.012780 
V 2.4200 I 0.013170 
V 2.4300 I 0.013560 
V 2.4400 I 0.013960 
V 2.4500 I 0.014340 
V 2.4600 I 0.014730 
V 2.4700 I 0.015120 
V 2.4800 I 0.015490 
V 2.4900 I 0.015860 
V 2.5000 I 0.016220 
V 2.5100 I 0.016620 
V 2.5200 I 0.017070 
V 2.5300 I 0.017510 
V 2.5400 I 0.017950 
V 2.5500 I 0.018770 
V 2.5600 I 0.019240 
V 2.5700 I 0.019740 


"Yellow LED"
